Mine,Latitude,Longitude,Blue_B02,Green_B03,Red_B04,NIR_B08,SWIR1_B11,SWIR2_B12,NDVI,Distance_to_Manganese_km,Manganese_Presence,Lithology,GLiM_ID,Elevation_mean_m,Elevation_min_m,Elevation_max_m,Slope_mean_degrees,Slope_min_degrees,Slope_max_degrees,LST_mean_C,LST_min_C,LST_max_C
Munsar,21.38146184402952,79.30844102742857,0.161,0.1846,0.1886,0.3097,0.3037,0.2388,0.2430263,3.6501010117517656,0,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Chikla,21.56776411124644,79.74373179978097,0.1744,0.1946,0.2082,0.3544,0.4153,0.3118,0.25986493,4.9246296589968654,0,Metamorphics,IND2480,324.12485,288.91412,468.7117,3.8145928,0.0,36.321957,32.102837,29.184732,33.749233
Ukwa,21.961547055722683,80.45733534476334,0.1839,0.22,0.2636,0.358,0.4452,0.365,0.15186617,0.3863056130915634,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Munsar,21.398687597641032,79.26175579617507,0.1991,0.231,0.2456,0.4188,0.4228,0.35,0.26068634,0.171010185121726,1,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Sitapatore,21.684435234711003,79.66907622751297,0.147,0.1674,0.1692,0.3212,0.3364,0.246,0.30995107,8.399758113831487,0,Metamorphics,IND2497,330.57553,308.20984,387.75015,3.0461476,0.0,33.174393,31.900742,31.206608,32.967358
Ukwa,21.958666319933748,80.46044543449344,0.1996,0.2394,0.2938,0.3858,0.5199,0.4326,0.13537376,0.0890524799857653,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Beldongri,21.36073745312568,79.2778241687411,0.1644,0.1987,0.212,0.4122,0.2903,0.2076,0.32073057,2.1976383742306984,0,Metamorphics,IND2497,299.1285,251.15112,315.94476,1.0450696,0.0,37.204727,34.04583,33.437935,34.728897
Gumgaon,21.418945880086984,78.95981203159779,0.147,0.1692,0.1838,0.2966,0.359,0.2789,0.23480435,3.28187630135489,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Balaghat,21.831277856734133,80.2316010634513,0.1745,0.1948,0.2288,0.2821,0.356,0.3095,0.10432568,0.2724939607684299,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Balaghat,21.845280028291,80.25107354461925,0.1927,0.2238,0.2536,0.3923,0.5054,0.4083,0.21473913,0.4720147188557756,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Ukwa,21.96935070800818,80.46776612776395,0.1525,0.1698,0.192,0.2871,0.4059,0.3604,0.19849716,0.3667372242940364,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Dongri_Buzurg,21.55260507128241,79.6988645023294,0.1427,0.1579,0.1392,0.3943,0.2509,0.1661,0.4781631,0.3779060215173498,1,Metamorphics,IND2480,334.0665,270.8272,418.0179,3.693927,0.0,42.639668,32.160763,30.868849,32.82424
Munsar,21.393841124198783,79.30000450367302,0.1684,0.1871,0.1806,0.3679,0.2952,0.2218,0.34147677,2.678008859025085,0,Metamorphics,IND2497,330.61935,298.43054,426.02664,2.7755353,0.0,43.054794,34.265858,32.686935,35.39038
Ukwa,21.95992473475466,80.45850369690278,0.2212,0.2562,0.3158,0.4278,0.517,0.4264,0.1506186,0.1953025980657299,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Balaghat,21.875087513771224,80.21123471148184,0.2084,0.2412,0.2716,0.3977,0.5039,0.4258,0.1884058,0.2734123905506637,1,Metamorphics,IND2497,315.88818,295.6509,563.0416,3.3144548,0.0,41.898067,31.532078,30.486078,32.70804
Dongri_Buzurg,21.564952489095795,79.66109242809563,0.1878,0.21,0.235,0.3292,0.3991,0.3196,0.16696207,4.408528111120896,0,Metamorphics,IND2480,334.0665,270.8272,418.0179,3.693927,0.0,42.639668,32.160763,30.868849,32.82424
Kandri,21.405581385473194,79.28212174582308,0.1606,0.1758,0.1578,0.4185,0.303,0.2051,0.45236853,0.4733857424709811,1,Metamorphics,IND2497,338.3795,298.43054,426.02664,3.4002244,0.0,43.054794,34.156246,32.113777,35.585854
Ukwa,21.95649301212294,80.45890408601322,0.2074,0.2448,0.2996,0.3997,0.4826,0.4051,0.14314312,0.3612031499640537,1,Acid plutonic rocks,IND2479,628.92834,594.1108,739.69165,3.7049649,0.012417971,29.374945,31.737665,29.684727,33.21501
Gumgaon,21.40352999415973,78.954625686352,0.1762,0.2074,0.2576,0.3386,0.3942,0.3234,0.13586046,3.0399323598464885,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Gumgaon,21.402232009070968,78.98164575962572,0.1404,0.1567,0.1598,0.3176,0.316,0.2439,0.33054045,0.3681427531242929,1,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Gumgaon,21.39861877864502,78.95180104632261,0.154,0.1724,0.1995,0.3054,0.3464,0.2748,0.20974456,3.300859843428225,0,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
Chikla,21.547965150768995,79.7780845641212,0.1423,0.1687,0.1366,0.4896,0.2612,0.1703,0.5637176,8.041354095756304,0,Metamorphics,IND2480,324.12485,288.91412,468.7117,3.8145928,0.0,36.321957,32.102837,29.184732,33.749233
Gumgaon,21.3993541490822,78.98264962108712,0.1625,0.186,0.2168,0.2634,0.302,0.2763,0.097042866,0.1070509191957546,1,Metamorphics,IND2497,308.76245,295.0,335.6139,2.549382,0.043339998,24.080704,35.68411,34.714085,36.529636
